CÓDIGO,DENOMINACIÓN,Total
131722,Servicios de seguridad y escolta,0.00
131723,Servicios de lavandería,0.00
131724,Servicios de parqueadero,0.00
131725,Publicidad y propaganda,0.00
131726,"Recreativos, culturales, y deportivos",0.00
131727,Gestión de transporte masivo,0.00
131728,Servicios de diagnóstico técnico mecánico,0.00
131729,Servicios por administración de contratos,0.00
131730,Servicios de mantenimiento y reparación,0.00
131731,Consultorías,0.00
131790,Otros servicios,0.00
1318,PRESTACIÓN DE SERVICIOS PÚBLICOS,26547350.00
131801,Servicio de energía,0.00
131802,Servicio de acueducto,13766128.00
131803,Servicio de alcantarillado,6884561.00
131804,Servicio de aseo,5896661.00
131805,Servicio de gas combustible,0.00
131806,Servicio de telecomunicaciones,0.00
131807,Subsidio servicio de energía,0.00
131808,Subsidio servicio de acueducto,0.00
131809,Subsidio servicio de alcantarillado,0.00
131810,Subsidio servicio de aseo,0.00
131811,Subsidio servicio de gas combustible,0.00
131812,Subsidio servicio de telecomunicaciones,0.00
1319,PRESTACIÓN DE SERVICIOS DE SALUD,0.00
131901,Plan de Beneficios en Salud (PBS) por EPS - sin facturar o con facturación pendiente de radicar,0.00
131902,Plan de Beneficios en Salud (PBS) por EPS - con facturación radicada,0.00
131903,Plan subsidiado de salud (PBSS) por EPS - sin facturar o con facturación pendiente de radicar,0.00
131904,Plan subsidiado de salud (PBSS) por EPS - con facturación radicada,0.00
131905,Empresas de medicina prepagada (EMP) - sin facturar o con facturación pendiente de radicar,0.00
131906,Empresas de medicina prepagada (EMP) - con facturación radicada,0.00
131907,Planes complementarios de EPS,0.00
131908,Servicios  de  salud  por  IPS  privadas  -  sin  facturar  o  con  facturación  pendiente  de radicar,0.00
131909,Servicios de salud por IPS privadas - con facturación radicada,0.00
131910,Servicios  de  salud  por  IPS  públicas  -  sin  facturar  o  con  facturación  pendiente  de radicar,0.00
131911,Servicios de salud por IPS públicas - con facturación radicada,0.00
131912,Servicios  de  salud  por  compañías  aseguradoras  -  sin  facturar  o  con  facturación pendiente de radicar,0.00
131913,Servicios de salud por compañías aseguradoras - con facturación radicada,0.00
131914,Servicios   de   Salud  por   entidades   con  régimen   especial   -   sin  facturar   o   con facturación pendiente de radicar,0.00
131915,Servicios de Salud por entidades con régimen especial - con facturación radicada,0.00
131916,Servicios de salud por particulares,0.00
131917,Atención  accidentes  de  tránsito  SOAT  por  compañías  de  seguros  -  sin  facturar  o con facturación pendiente de radicar,0.00
131918,"Atención accidentes de tránsito SOAT por compañías de seguros - con facturación
radicada",0.00
131919,"Atención  con  cargo  a  recursos  de  acciones  de  salud  pública  -  sin  facturar  o  con
facturación pendiente de radicar",0.00
131920,"Atención  con  cargo  a  recursos  de  acciones  de  salud  pública  -  con  facturación
radicada",0.00
131921,"Atención con cargo al subsidio a la oferta - sin facturar o con facturación pendiente
de radicar",0.00
131922,Atención con cargo al subsidio a la oferta - con facturación radicada,0.00
131923,Riesgos laborales (ARL) - sin facturar o con facturación pendiente de radicar,0.00
131924,Riesgos laborales (ARL) - con facturación radicada,0.00
131925,Convenios  con  recursos  del  Sistema  General  de  Seguridad  Social  en  Salud  para trauma mayor y desplazados - sin facturar o con facturación pendiente de radicar,0.00
131926,Convenios   con  recursos  del  Sistema  General  de  Seguridad  Social  en  Salud  para trauma mayor y desplazados - con facturación radicada,0.00
131927,Reclamaciones con cargo a los recursos del Sistema General de Seguridad Social en Salud - sin facturar o con facturación pendiente de radicar,0.00
131928,"Reclamaciones con cargo a los recursos del Sistema General de Seguridad Social en
Salud - con facturación radicada",0.00
131929,Cuota de recuperación,0.00
131930,Ministerio de salud - Recursos del IVA social,0.00
131980,Giro directo para abono a la cartera sector salud (Cr),0.00
131990,Otras cuentas por cobrar servicios de salud,0.00
1322,ADMINISTRACIÓN DEL SISTEMA DE SEGURIDAD SOCIAL EN SALUD,0.00
132201,Unidad de pago por capitación (UPC) régimen contributivo,0.00
132202,Unidad de pago por capitación adicional régimen contributivo,0.00
132203,Cuota moderadora régimen contributivo,0.00
132204,Copagos régimen contributivo,0.00
132205,Cuotas de inscripción y afiliación régimen contributivo,0.00
132206,Unidad de pago por capitación (UPC) régimen subsidiado,0.00
132207,Copagos régimen subsidiado,0.00
132208,Comisiones administradoras de riesgos laborales,0.00
132209,Prestación del servicio a personas fuera del sistema,0.00
132210,Recobros SOAT,0.00
132211,Recobros ARL,0.00
132212,Recobro de enfermedades alto costo,0.00
132213,Recobro a empleadores,0.00
132214,Cuotas de inscripción y afiliación a planes complementarios,0.00
132215,Cuentas por cobrar No PBS pendientes de radicar,0.00
132216,Cuentas por cobrar No PBS radicadas,0.00
132217,Cuentas por cobrar entidades territoriales pendientes de radicar,0.00
132218,Cuentas por cobrar entidades territoriales radicadas,0.00
132219,Licencias de maternidad y paternidad,0.00
132220,Incapacidades,0.00
132222,Programas de promoción y prevención,0.00
132223,"Gestión de cobro, manejo de información y servicios financieros  EPS o EOC",0.00
132281,Giro previo sobre los recobros No PBS (Cr),0.00
132290,Otros ingresos por la administración del sistema de seguridad social en salud,0.00
1324,SUBVENCIONES POR COBRAR,0.00
132415,Donaciones,0.00
132416,Subvención por recursos transferidos por el gobierno,0.00
132495,Otras subvenciones,0.00
1333,DERECHOS DE RECOMPRA DE CUENTAS POR COBRAR,0.00
133301,Cuentas por cobrar,0.00
1384,OTRAS CUENTAS POR COBRAR,0.00
138401,Aportes de capital por cobrar,0.00
138403,Apoyo del fondo empresarial,0.00
138404,Cartera improductiva adquirida,0.00
138405,Comisiones,0.00
138406,Contratos para la gestión de servicios públicos,0.00
138407,Derechos a favor en operaciones conjuntas,0.00
138408,Cuotas partes de pensiones,0.00
138409,Depósitos en entidades intervenidas,0.00
138410,Derechos cobrados por terceros,0.00
138411,Derechos por incumplimiento de créditos garantizados,0.00
138412,Descuentos no autorizados,0.00
138414,Dividendos y participaciones por cobrar,0.00
138416,Enajenación de activos,0.00
138417,Esquemas de cobro,0.00
138420,Honorarios,0.00
138421,Indemnizaciones,0.00
138422,Intereses de fondos vendidos con compromiso de reventa,0.00
138423,Intereses de fondos vendidos ordinarios,0.00
138424,Margen en la comercialización de bienes y servicios,0.00
138425,Margen en la contratación de servicios de salud,0.00
138426,Pago por cuenta de terceros,0.00
138427,Recursos de acreedores reintegrados a tesorerías,0.00
138431,Rendimiento sobre depósitos judiciales,0.00
138432,Responsabilidades fiscales,0.00
138435,Intereses de mora,0.00
138436,Otros intereses por cobrar,0.00
138437,Contratos de construcción,0.00
138438,"Compensación o indemnización por deterioro, pérdidas o abandonos",0.00
138439,Arrendamiento operativo,0.00
138445,Derechos a favor en acuerdos no clasificados como operaciones conjuntas,0.00
138490,Otras cuentas por cobrar,0.00
1385,CUENTAS POR COBRAR DE DIFÍCIL RECAUDO,0.00
138501,Venta de bienes,0.00
138502,Prestación de servicios,0.00
138503,Servicio de energía,0.00
138504,Servicio de acueducto,0.00
138505,Servicio de alcantarillado,0.00
138506,Servicio de aseo,0.00
138507,Servicio de gas combustible,0.00
138508,Servicio de telecomunicaciones,0.00
138509,Prestación de servicios de salud,0.00
138510,Administración del sistema de seguridad social en salud,0.00
138515,"Contribuciones,  tasas e ingresos no tributarios",0.00
138590,Otras cuentas por cobrar de difícil recaudo,0.00
1386,DETERIORO ACUMULADO DE CUENTAS POR COBRAR (CR),0.00
138601,Venta de bienes,0.00
138602,Prestación de servicios,0.00
138603,Servicio de energía,0.00
138604,Servicio de acueducto,0.00
138605,Servicio de alcantarillado,0.00
138606,Servicio de aseo,0.00
138607,Servicio de gas combustible,0.00
138608,Servicio de telecomunicaciones,0.00
138609,Prestación de servicios de salud,0.00
138610,Administración del sistema de seguridad social en salud,0.00
138614,"Contribuciones, tasas e ingresos no tributarios",0.00
138690,Otras cuentas por cobrar,0.00
1387,CUENTAS POR COBRAR A COSTO AMORTIZADO,0.00
138701,Venta de bienes,0.00
138702,Prestación de servicios,0.00
138703,Servicio de energía,0.00
138704,Servicio de acueducto,0.00
138705,Servicio de alcantarillado,0.00
138706,Servicio de aseo,0.00
138707,Servicio de gas combustible,0.00
138708,Servicio de telecomunicaciones,0.00
138709,Prestación de servicios de salud,0.00
138790,Otras cuentas por cobrar a costo amortizado,0.00
1388,DETERIORO  ACUMULADO  DE  CUENTAS  POR  COBRAR  A  COSTO  AMORTIZADO (CR),0.00
138801,Venta de bienes,0.00
138802,Prestación de servicios,0.00
138803,Servicio de energía,0.00
138804,Servicio de acueducto,0.00
138805,Servicio de alcantarillado,0.00
138806,Servicio de aseo,0.00
138807,Servicio de gas combustible,0.00
138808,Servicio de telecomunicaciones,0.00
138809,Prestación de servicios de salud,0.00
138890,Otras cuentas por cobrar a costo amortizado,0.00
14,PRÉSTAMOS POR COBRAR,0.00
1415,PRÉSTAMOS CONCEDIDOS,0.00
141507,Préstamos educativos,0.00
141509,Préstamos a vinculados económicos,0.00
141510,Préstamos para investigaciones,0.00
141520,Préstamos de vivienda,0.00
141521,Préstamos de consumo,0.00
141522,Préstamos comerciales,0.00
141523,Microcrédito,0.00
141524,Préstamos de fomento y desarrollo regional,0.00
141525,Créditos a empleados,0.00
141526,Créditos a socios y accionistas,0.00
141529,Arrendamiento financiero,0.00
141530,Activo financiero por acuerdos de concesión (Concesionario),0.00
141590,Otros préstamos concedidos,0.00
1427,DERECHOS DE RECOMPRA DE PRÉSTAMOS POR COBRAR,0.00
142707,Préstamos por cobrar,0.00
1477,PRÉSTAMOS POR COBRAR DE DIFÍCIL RECAUDO,0.00
147701,Préstamos concedidos,0.00
1480,DETERIORO ACUMULADO DE PRÉSTAMOS POR COBRAR (CR),0.00
148003,Préstamos concedidos,0.00
15,INVENTARIOS,0.00
1505,BIENES PRODUCIDOS,0.00
150502,Construcciones,0.00
150506,Impresos y publicaciones,0.00
150507,"Licores, bebidas y alcoholes",0.00
150511,Productos químicos,0.00
150517,Medicamentos,0.00
150518,Productos artesanales,0.00
150519,Productos alimenticios,0.00
150520,Productos bélicos y explosivos,0.00
150521,Medicamentos de uso veterinario,0.00
150535,Productos metalúrgicos y de microfundición,0.00
150536,Productos de madera,0.00
150541,Equipos,0.00
150543,"Productos agropecuarios, de silvicultura, avicultura y pesca",0.00
150590,Otros bienes producidos,0.00
1510,MERCANCÍAS EN EXISTENCIA,0.00
151002,Terrenos,0.00
151003,Construcciones,0.00
151004,Impresos y publicaciones,0.00
151009,Productos químicos,0.00
151012,Semovientes,0.00
151013,Lubricantes,0.00
151014,Aditivos,0.00
151015,"Licores, bebidas y alcoholes",0.00
151022,Productos artesanales,0.00
151023,Productos bélicos y explosivos,0.00
151024,Material reactivo,0.00
151030,Equipos de comunicación y computación,0.00
151031,Aparatos telefónicos e identificadores de llamadas,0.00
151032,"Medidores de agua, luz y gas",0.00
151033,Elementos de campaña,0.00
151035,"Repuestos, equipos férreos y otros",0.00
151037,Muebles y enseres,0.00
151039,Material didáctico,0.00
151041,Maquinaria y elementos de ferretería,0.00
151042,"Productos agropecuarios, de silvicultura, avicultura y pesca",0.00
151060,Medicamentos,0.00
151061,Materiales médico - quirúrgicos,0.00
151065,Víveres y rancho,0.00
151090,Otras mercancías en existencia,0.00
1511,PRESTADORES DE SERVICIOS,0.00
151101,Servicios de consultoría,0.00
151102,Servicios de mantenimiento y reparación,0.00
151190,Otros inventarios de prestadores de servicios,0.00
1512,MATERIAS PRIMAS,0.00
151201,Materias primas,0.00
1514,MATERIALES Y SUMINISTROS,0.00
151401,Envases y empaques,0.00
151402,Materiales para la producción de bienes,0.00
151403,Medicamentos,0.00
151404,Materiales médico - quirúrgicos,0.00
151405,Materiales reactivos y de laboratorio,0.00
151406,Materiales odontológicos,0.00
151407,Materiales para imagenología,0.00
151408,Víveres y rancho,0.00
151409,Repuestos,0.00
151410,Elementos y accesorios de energía,0.00
151411,Elementos y accesorios de gas combustible,0.00
151412,Elementos y accesorios de telecomunicaciones,0.00
151413,Elementos y accesorios de acueducto,0.00
151414,Elementos y accesorios de alcantarillado,0.00
151415,Materiales para educación,0.00
151417,Elementos y accesorios de aseo,0.00
151418,Aguas tratadas,0.00
151419,Banco de componentes anatómicos y de sangre,0.00
151421,Dotación a trabajadores,0.00
151422,Ropa hospitalaria y quirúrgica,0.00
151423,Combustibles y lubricantes,0.00
151424,Elementos y materiales para construcción,0.00
151490,Otros materiales y suministros,0.00
1520,PRODUCTOS EN PROCESO,0.00
152002,Construcciones,0.00
152007,Impresos y publicaciones,0.00
152008,Medicamentos,0.00
152009,"Licores, bebidas y alcoholes",0.00
152013,Productos químicos,0.00
152018,Productos alimenticios,0.00
152019,Productos bélicos y explosivos,0.00
152020,Productos artesanales,0.00
152021,Medicamentos de uso veterinario,0.00
152025,Productos metalúrgicos y de microfundición,0.00
152026,Productos de madera,0.00
152032,Equipos,0.00
152034,"Productos agropecuarios, de silvicultura, avicultura y pesca",0.00
152090,Otros productos en proceso,0.00
1525,EN TRÁNSITO,0.00
152502,Materias primas,0.00
152505,Envases y empaques,0.00
152507,Medicamentos,0.00
152508,Materiales médico - quirúrgicos,0.00
152512,Víveres y rancho,0.00
152519,Materiales para la producción de bienes,0.00
152520,Impresos y publicaciones,0.00
152521,Especies valoradas,0.00
152522,"Productos agropecuarios, de silvicultura, avicultura y pesca",0.00
152525,Productos químicos,0.00
152528,Lubricantes,0.00
152529,Aditivos,0.00
152530,Semovientes,0.00
152531,"Licores, bebidas y alcoholes",0.00
152534,Productos bélicos y explosivos,0.00
152535,Materiales reactivos,0.00
152537,Materiales para la prestación de servicios,0.00
152543,Equipos de comunicación y computación,0.00
152544,Aparatos telefónicos e identificadores de llamadas,0.00
152545,"Medidores de agua, luz y gas",0.00
152546,Construcciones,0.00
152590,Otros inventarios en tránsito,0.00
1530,EN PODER DE TERCEROS,0.00
153005,Impresos y publicaciones,0.00
153006,Medicamentos,0.00
153007,Materias primas,0.00
153008,Materiales para la producción de bienes,0.00
153009,Materiales para la prestación de servicios,0.00
153010,Construcciones,0.00
153013,Aditivos,0.00
153014,"Licores, bebidas y alcoholes",0.00
153015,"Productos agropecuarios, de silvicultura, avicultura y pesca",0.00
153018,Productos químicos,0.00
153021,Productos de minas,0.00
153023,Productos artesanales,0.00
153024,Productos alimenticios,0.00
153028,Víveres y rancho,0.00
153030,Envases y empaques,0.00
153031,Materiales médico - quirúrgicos,0.00
153033,Especies valoradas,0.00
153034,Materiales reactivos,0.00
153040,Equipos de comunicación y computación,0.00
153042,"Repuestos, equipos férreos y otros",0.00
153090,Otros inventarios en poder de terceros,0.00
1580,DETERIORO ACUMULADO DE INVENTARIOS (CR),0.00
158001,Bienes producidos,0.00
158002,Mercancías en existencia,0.00
158004,Productos en proceso,0.00
158006,Materias primas,0.00
158010,Inventarios en tránsito,0.00
158011,Inventarios en poder de terceros,0.00
158012,Inventarios de prestadores de servicios,0.00
158013,Materiales y suministros,0.00
16,"PROPIEDADES, PLANTA Y EQUIPO",16452010.00
1605,TERRENOS,0.00
160501,Urbanos,0.00
160502,Rurales,0.00
160503,Terrenos con destinación ambiental,0.00
160504,Terrenos pendientes de legalizar,0.00
160505,Terrenos de propiedad de terceros,0.00
1610,SEMOVIENTES Y PLANTAS,0.00
161001,De trabajo,0.00
161002,De selección,0.00
161003,De investigación y educación,0.00
161004,De exposición,0.00
161005,Semovientes y plantas pendientes de legalizar,0.00
161006,Semovientes y plantas de propiedad de terceros,0.00
161090,Otros semovientes y plantas,0.00
1612,PLANTAS PRODUCTORAS,0.00
161201,Cultivos en desarrollo,0.00
161202,Cultivos amortizables,0.00
1615,CONSTRUCCIONES EN CURSO,0.00
161501,Edificaciones,0.00
161504,"Plantas, ductos y túneles",0.00
161505,"Redes, líneas y cables",0.00
161590,Otras construcciones en curso,0.00
1620,"MAQUINARIA, PLANTA Y EQUIPO EN MONTAJE",0.00
162001,"Plantas, ductos y túneles",0.00
162002,"Redes, líneas y cables",0.00
162003,Maquinaria y equipo,0.00
162004,Equipo médico y científico,0.00
162005,Equipos de comunicación y computación,0.00
162007,"Equipos de comedor, cocina, despensa y hotelería",0.00
162008,"Equipos de transporte, tracción y elevación",0.00
162090,"Otras maquinarias, planta y equipo en montaje",0.00
1625,"PROPIEDADES, PLANTA Y EQUIPO EN TRÁNSITO",0.00
162501,Plantas y ductos,0.00
162502,"Redes, líneas y cables",0.00
162503,Maquinaria y equipo,0.00
162504,Equipo médico y científico,0.00
162505,Equipos de comunicación y computación,0.00
162506,"Equipos de transporte, tracción y elevación",0.00
162507,"Muebles, enseres y equipo de oficina",0.00
162508,"Equipos de comedor, cocina, despensa y hotelería",0.00
